ID,Year,"First Name","Middle Name","Last Name",party,Level,Position,state,District,race_ethnicity
196595k,2022,Alma,S.,Adams,Democrat,Congress,"U.S. Representative","North Carolina - NC",12,Black
627442k,2022,Cindy,,Axne,Democrat,Congress,"U.S. Representative","Iowa - IA",3,White
226476k,2022,Karen,R.,Bass,Democrat,Congress,"U.S. Representative","California - CA",37,Black
197852k,2022,Joyce,B.,Beatty,Democrat,Congress,"U.S. Representative","Ohio - OH",3,Black
495403k,2022,Stephanie,,Bice,Republican,Congress,"U.S. Representative","Oklahoma - OK",05,White
558891k,2022,Lisa,,"Blunt Rochester",Democrat,Congress,"U.S. Representative","Delaware - DE",AL,Black
724132k,2022,Lauren,,Boebert,Republican,Congress,"U.S. Representative","Colorado - CO",03,White
249764k,2022,Suzanne,M.,Bonamici,Democrat,Congress,"U.S. Representative","Oregon - OR",1,White
629889k,2022,Carolyn,,Bourdeaux,Democrat,Congress,"U.S. Representative","Georgia - GA",07,White
772727k,2022,Shontel,,Brown,Democrat,Congress,"U.S. Representative","Ohio - OH",11,Black
248455k,2022,Julia,,Brownley,Democrat,Congress,"U.S. Representative","California - CA",26,White
571342k,2022,Cori,,Bush,Democrat,Congress,"U.S. Representative","Missouri - MO",01,Black
378493k,2022,Cheri,L.,Bustos,Democrat,Congress,"U.S. Representative","Illinois - IL",17,White
447426k,2022,Kat,,Cammack,Republican,Congress,"U.S. Representative","Florida - FL",03,White
248289k,2022,Kathy,A.,Castor,Democrat,Congress,"U.S. Representative","Florida - FL",14,White
464230k,2022,Liz,L.,Cheney,Republican,Congress,"U.S. Representative","Wyoming - WY",AL,White
665191k,2022,Sheila,,Cherfilus-McCormick,Democrat,Congress,"U.S. Representative","Florida - FL",20,Black
209456k,2022,Judy,,Chu,Democrat,Congress,"U.S. Representative","California - CA",27,"Asian American/Pacific Islander"
263010k,2022,Katherine,M.,Clark,Democrat,Congress,"U.S. Representative","Massachusetts - MA",5,White
248335k,2022,Yvette,D.,Clarke,Democrat,Congress,"U.S. Representative","New York - NY",9,Black
536254k,2022,Angela,D.,Craig,Democrat,Congress,"U.S. Representative","Minnesota - MN",2,White
655850k,2022,Sharice,,Davids,Democrat,Congress,"U.S. Representative","Kansas - KS",3,"Native American/Alaska Native/Native Hawaiian"
569358k,2022,Madeleine,,Dean,Democrat,Congress,"U.S. Representative","Pennsylvania - PA",4,White
158770k,2022,Diana,L.,DeGette,Democrat,Congress,"U.S. Representative","Colorado - CO",1,White
158778k,2022,Rosa,L.,DeLauro,Democrat,Congress,"U.S. Representative","Connecticut - CT",3,White
284676k,2022,Suzan,K.,DelBene,Democrat,Congress,"U.S. Representative","Washington - WA",1,White
378538k,2022,Val,B.,Demings,Democrat,Congress,"U.S. Representative","Florida - FL",10,Black
536062k,2022,Nanette,,"Diaz Barragan",Democrat,Congress,"U.S. Representative","California - CA",44,Latina
357079k,2022,Debbie,,Dingell,Democrat,Congress,"U.S. Representative","Michigan - MI",12,White
634679k,2022,Veronica,,Escobar,Democrat,Congress,"U.S. Representative","Texas - TX",16,Latina
158731k,2022,Anna,G.,Eshoo,Democrat,Congress,"U.S. Representative","California - CA",18,White
195769k,2022,Michelle,L.,Fischbach,Republican,Congress,"U.S. Representative","Minnesota - MN",07,White
196515k,2022,Virginia,A.,Foxx,Republican,Congress,"U.S. Representative","North Carolina - NC",5,White
193594k,2022,Lois,J.,Frankel,Democrat,Congress,"U.S. Representative","Florida - FL",21,White
454041k,2022,Sylvia,R.,Garcia,Democrat,Congress,"U.S. Representative","Texas - TX",29,Latina
159082k,2022,Kay,N.,Granger,Republican,Congress,"U.S. Representative","Texas - TX",12,White
707878k,2022,Marjorie,,Greene,Republican,Congress,"U.S. Representative","Georgia - GA",14,White
734559k,2022,Diana,,Harshbarger,Republican,Congress,"U.S. Representative","Tennessee - TN",01,White
284768k,2022,Vicky,Jo,Hartzler,Republican,Congress,"U.S. Representative","Missouri - MO",4,White
666101k,2022,Jahana,,Hayes,Democrat,Congress,"U.S. Representative","Connecticut - CT",5,Black
299694k,2022,Yvette,S.,Herrell,Republican,Congress,"U.S. Representative","New Mexico - NM",02,White
229353k,2022,Jaime,L.,"Herrera Beutler",Republican,Congress,"U.S. Representative","Washington - WA",3,Latina
572935k,2022,Ashley,,Hinson,Republican,Congress,"U.S. Representative","Iowa - IA",01,White
621721k,2022,Chrissy,,Houlahan,Democrat,Congress,"U.S. Representative","Pennsylvania - PA",6,White
644085k,2022,Sara,,Jacobs,Democrat,Congress,"U.S. Representative","California - CA",53,White
499054k,2022,Pramila,,Jayapal,Democrat,Congress,"U.S. Representative","Washington - WA",7,"Asian American/Pacific Islander"
159100k,2022,Eddie,Bernice,Johnson,Democrat,Congress,"U.S. Representative","Texas - TX",30,Black
159009k,2022,Marcy,C.,Kaptur,Democrat,Congress,"U.S. Representative","Ohio - OH",9,White
212680k,2022,Robin,L.,Kelly,Democrat,Congress,"U.S. Representative","Illinois - IL",2,Black
494206k,2022,Young,O.,Kim,Republican,Congress,"U.S. Representative","California - CA",39,"Asian American/Pacific Islander"
227470k,2022,Ann,L.,Kirkpatrick,Democrat,Congress,"U.S. Representative","Arizona - AZ",2,White
284835k,2022,Ann,McLane,Kuster,Democrat,Congress,"U.S. Representative","New Hampshire - NH",2,White
391655k,2022,Brenda,L.,Lawrence,Democrat,Congress,"U.S. Representative","Michigan - MI",14,Black
158726k,2022,Barbara,J.,Lee,Democrat,Congress,"U.S. Representative","California - CA",13,Black
159088k,2022,Sheila,Jackson,Lee,Democrat,Congress,"U.S. Representative","Texas - TX",18,Black
541030k,2022,Susie,,Lee,Democrat,Congress,"U.S. Representative","Nevada - NV",3,White
453352k,2022,Teresa,,"Leger Fernandez",Democrat,Congress,"U.S. Representative","New Mexico - NM",03,Latina
267627k,2022,Debbie,,Lesko,Republican,Congress,"U.S. Representative","Arizona - AZ",8,White
768497k,2022,Julia,,Letlow,Republican,Congress,"U.S. Representative","Louisiana - LA",05,White
158733k,2022,Zoe,,Lofgren,Democrat,Congress,"U.S. Representative","California - CA",19,White
644669k,2022,Elaine,G.,Luria,Democrat,Congress,"U.S. Representative","Virginia - VA",2,White
466143k,2022,Nancy,,Mace,Republican,Congress,"U.S. Representative","South Carolina - SC",01,White
309650k,2022,Nicole,,Malliotakis,Republican,Congress,"U.S. Representative","New York - NY",11,"White, Latina"
158983k,2022,Carolyn,B.,Maloney,Democrat,Congress,"U.S. Representative","New York - NY",12,White
646745k,2022,Kathy,,Manning,Democrat,Congress,"U.S. Representative","North Carolina - NC",06,White
232639k,2022,Doris,O.,Matsui,Democrat,Congress,"U.S. Representative","California - CA",6,"Asian American/Pacific Islander"
658185k,2022,Lucy,,McBath,Democrat,Congress,"U.S. Representative","Georgia - GA",6,Black
721727k,2022,Lisa,,McClain,Republican,Congress,"U.S. Representative","Michigan - MI",10,White
195933k,2022,Betty,,McCollum,Democrat,Congress,"U.S. Representative","Minnesota - MN",4,White
199779k,2022,Cathy,,"McMorris Rodgers",Republican,Congress,"U.S. Representative","Washington - WA",5,White
271828k,2022,Grace,,Meng,Democrat,Congress,"U.S. Representative","New York - NY",6,"Asian American/Pacific Islander"
249553k,2022,Carol,D.,Miller,Republican,Congress,"U.S. Representative","West Virginia - WV",3,White
721413k,2022,Mary,,Miller,Republican,Congress,"U.S. Representative","Illinois - IL",15,White
267080k,2022,Mariannette,,Miller-Meeks,Republican,Congress,"U.S. Representative","Iowa - IA",02,White
199871k,2022,Gwen,S.,Moore,Democrat,Congress,"U.S. Representative","Wisconsin - WI",4,Black
588810k,2022,Stephanie,,Murphy,Democrat,Congress,"U.S. Representative","Florida - FL",7,"Asian American/Pacific Islander"
158751k,2022,Grace,F.,Napolitano,Democrat,Congress,"U.S. Representative","California - CA",32,Latina
619144k,2022,Marie,,Newman,Democrat,Congress,"U.S. Representative","Illinois - IL",03,White
624858k,2022,Alexandria,,Ocasio-Cortez,Democrat,Congress,"U.S. Representative","New York - NY",14,Latina
583510k,2022,Ilhan,,Omar,Democrat,Congress,"U.S. Representative","Minnesota - MN",5,Black
625330k,2022,Elizabeth,,"Pannill Fletcher",Democrat,Congress,"U.S. Representative","Texas - TX",7,White
158725k,2022,Nancy,,Pelosi,Democrat,Congress,"U.S. Representative","California - CA",12,White
267137k,2022,Chellie,M.,Pingree,Democrat,Congress,"U.S. Representative","Maine - ME",1,White
621002k,2022,Katherine,,Porter,Democrat,Congress,"U.S. Representative","California - CA",45,White
234321k,2022,Ayanna,,Pressley,Democrat,Congress,"U.S. Representative","Massachusetts - MA",7,Black
489426k,2022,Kathleen,M.,Rice,Democrat,Congress,"U.S. Representative","New York - NY",4,White
211983k,2022,Deborah,,Ross,Democrat,Congress,"U.S. Representative","North Carolina - NC",02,White
158750k,2022,Lucille,,Roybal-Allard,Democrat,Congress,"U.S. Representative","California - CA",40,Latina
658161k,2022,Maria,,Salazar,Republican,Congress,"U.S. Representative","Florida - FL",27,Latina
211684k,2022,Linda,T.,Sanchez,Democrat,Congress,"U.S. Representative","California - CA",38,Latina
655204k,2022,Mary,Gay,Scanlon,Democrat,Congress,"U.S. Representative","Pennsylvania - PA",05,White
158836k,2022,Jan,D.,Schakowsky,Democrat,Congress,"U.S. Representative","Illinois - IL",9,White
632874k,2022,Kim,,Schrier,Democrat,Congress,"U.S. Representative","Washington - WA",8,White
283908k,2022,Terri,A.,Sewell,Democrat,Congress,"U.S. Representative","Alabama - AL",7,Black
625260k,2022,Mikie,,Sherrill,Democrat,Congress,"U.S. Representative","New Jersey - NJ",11,White
261745k,2022,Elissa,,Slotkin,Democrat,Congress,"U.S. Representative","Michigan - MI",8,White
630216k,2022,Abigail,D.,Spanberger,Democrat,Congress,"U.S. Representative","Virginia - VA",7,White
638877k,2022,Victoria,,Spartz,Republican,Congress,"U.S. Representative","Indiana - IN",05,White
192997k,2022,Jackie,,Speier,Democrat,Congress,"U.S. Representative","California - CA",14,White
461875k,2022,Melanie,A.,Stansbury,Democrat,Congress,"U.S. Representative","New Mexico - NM",01,White
694474k,2022,Michelle,,Steel,Republican,Congress,"U.S. Representative","California - CA",48,"Asian American/Pacific Islander"
247560k,2022,Elise,M.,Stefanik,Republican,Congress,"U.S. Representative","New York - NY",21,White
623571k,2022,Haley,,Stevens,Democrat,Congress,"U.S. Representative","Michigan - MI",11,White
727678k,2022,Marilyn,,Strickland,Democrat,Congress,"U.S. Representative","Washington - WA",10,"Black, Asian American/Pacific Islander"
216162k,2022,Claudia,,Tenney,Republican,Congress,"U.S. Representative","New York - NY",22,White
197530k,2022,Dina,C.,Titus,Democrat,Congress,"U.S. Representative","Nevada - NV",1,White
268236k,2022,Rashida,,Tlaib,Democrat,Congress,"U.S. Representative","Michigan - MI",13,"Middle Eastern/North African"
267783k,2022,Norma,J.,Torres,Democrat,Congress,"U.S. Representative","California - CA",35,Latina
636951k,2022,Lori,,Trahan,Democrat,Congress,"U.S. Representative","Massachusetts - MA",3,White
601601k,2022,Lauren,A.,Underwood,Democrat,Congress,"U.S. Representative","Illinois - IL",14,Black
661605k,2022,Beth,,"Van Duyne",Republican,Congress,"U.S. Representative","Texas - TX",24,White
158981k,2022,Nydia,M.,Velazquez,Democrat,Congress,"U.S. Representative","New York - NY",7,Latina
378827k,2022,Ann,L.,Wagner,Republican,Congress,"U.S. Representative","Missouri - MO",2,White
227370k,2022,Jackie,Swihart,Walorski,Republican,Congress,"U.S. Representative","Indiana - IN",2,White
226499k,2022,Debbie,,"Wasserman Schultz",Democrat,Congress,"U.S. Representative","Florida - FL",23,White
158752k,2022,Maxine,,Waters,Democrat,Congress,"U.S. Representative","California - CA",43,Black
362925k,2022,Bonnie,,"Watson Coleman",Democrat,Congress,"U.S. Representative","New Jersey - NJ",12,Black
484877k,2022,Jennifer,T.,Wexton,Democrat,Congress,"U.S. Representative","Virginia - VA",10,White
638609k,2022,Susan,Ellis,Wild,Democrat,Congress,"U.S. Representative","Pennsylvania - PA",7,White
648743k,2022,Nikema,,Williams,Democrat,Congress,"U.S. Representative","Georgia - GA",05,Black
211856k,2022,Frederica,S.,Wilson,Democrat,Congress,"U.S. Representative","Florida - FL",24,Black
