ID,Year,"First Name","Middle Name","Last Name",party,Level,Position,state,District,race_ethnicity
159127k,2022,Tammy,,Baldwin,Democrat,Congress,"U.S. Senator","Wisconsin - WI",S02,White
198986k,2022,Marsha,,Blackburn,Republican,Congress,"U.S. Senator","Tennessee - TN",S02,White
205537k,2022,Maria,,Cantwell,Democrat,Congress,"U.S. Senator","Washington - WA",S02,White
200084k,2022,Shelley,Moore,Capito,Republican,Congress,"U.S. Senator","West Virginia - WV",S02,White
165234k,2022,Susan,,Collins,Republican,Congress,"U.S. Senator","Maine - ME",S01,White
252293k,2022,Catherine,,"Cortez Masto",Democrat,Congress,"U.S. Senator","Nevada - NV",S01,Latina
264841k,2022,Tammy,,Duckworth,Democrat,Congress,"U.S. Senator","Illinois - IL",S02,"Asian American/Pacific Islander"
328986k,2022,Joni,,Ernst,Republican,Congress,"U.S. Senator","Iowa - IA",S02,White
165201k,2022,Dianne,,Feinstein,Democrat,Congress,"U.S. Senator","California - CA",S01,White
228296k,2022,Deb,,Fischer,Republican,Congress,"U.S. Senator","Nebraska - NE",S01,White
248345k,2022,Kirsten,E.,Gillibrand,Democrat,Congress,"U.S. Senator","New York - NY",S02,White
227982k,2022,Maggie,,Hassan,Democrat,Congress,"U.S. Senator","New Hampshire - NH",S02,White
248294k,2022,Mazie,K.,Hirono,Democrat,Congress,"U.S. Senator","Hawaii - HI",S02,"Asian American/Pacific Islander"
196212k,2022,Cindy,,Hyde-Smith,Republican,Congress,"U.S. Senator","Mississippi - MS",S02,White
248506k,2022,Amy,,Klobuchar,Democrat,Congress,"U.S. Senator","Minnesota - MN",S01,White
240578k,2022,Cynthia,M.,Lummis,Republican,Congress,"U.S. Senator","Wyoming - WY",S02,White
192554k,2022,Lisa,,Murkowski,Republican,Congress,"U.S. Senator","Alaska - AK",,White
165286k,2022,Patty,,Murray,Democrat,Congress,"U.S. Senator","Washington - WA",S01,White
567336k,2022,Jacklyn,S.,Rosen,Democrat,Congress,"U.S. Senator","Nevada - NV",S02,White
209675k,2022,Jeanne,,Shaheen,Democrat,Congress,"U.S. Senator","New Hampshire - NH",S01,White
227495k,2022,Kyrsten,,Sinema,Democrat,Congress,"U.S. Senator","Arizona - AZ",S01,White
332335k,2022,Tina,,Smith,Democrat,Congress,"U.S. Senator","Minnesota - MN",S02,White
205511k,2022,Debbie,A.,Stabenow,Democrat,Congress,"U.S. Senator","Michigan - MI",S01,White
309189k,2022,Elizabeth,A.,Warren,Democrat,Congress,"U.S. Senator","Massachusetts - MA",S01,White
