Name,Link,Party,,User_name
Alma S. Adams,https://twitter.com/RepAdams ,Democrat,,"'@RepAdams',"
Cindy Axne,https://twitter.com/RepCindyAxne,Democrat,," '@RepCindyAxne',"
Tammy Baldwin,https://twitter.com/SenatorBaldwin,Democrat,," '@SenatorBaldwin',"
Karen R. Bass,https://twitter.com/RepKarenBass,Democrat,," '@RepKarenBass',"
Joyce B. Beatty,https://twitter.com/repbeatty?lang=en,Democrat,," '@repbeatty',"
Stephanie Bice,https://twitter.com/stephaniebice,Republican,," '@stephaniebice',"
Marsha Blackburn,https://twitter.com/MarshaBlackburn ,Republican,," '@MarshaBlackburn',"
Lisa Blunt Rochester,https://twitter.com/RepLBR ,Democrat,," '@RepLBR',"
Lauren Boebert,https://twitter.com/laurenboebert ,Republican,," '@laurenboebert',"
Suzanne M. Bonamici,https://twitter.com/RepBonamici ,Democrat,," '@RepBonamici',"
Carolyn Bourdeaux,https://twitter.com/repbourdeaux?lang=en ,Democrat,," '@repbourdeaux',"
Shontel Brown,https://twitter.com/repshontelbrown?lang=en ,Democrat,," '@repshontelbrown',"
Julia Brownley,https://twitter.com/RepBrownley ,Democrat,," '@RepBrownley',"
Cori Bush,https://twitter.com/repcori?lang=en ,Democrat,," '@repcori',"
Cheri L. Bustos,https://twitter.com/RepCheri ,Democrat,," '@RepCheri',"
Kat Cammack,https://twitter.com/RepKatCammack ,Republican,," '@RepKatCammack',"
Maria Cantwell,https://twitter.com/SenatorCantwell ,Democrat,," '@SenatorCantwell',"
Shelley Moore Capito,https://twitter.com/SenCapito ,Republican,," '@SenCapito',"
Kathy A. Castor,https://twitter.com/usrepkcastor?lang=en ,Democrat,," '@usrepkcastor',"
Liz L. Cheney,https://twitter.com/RepLizCheney ,Republican,," '@RepLizCheney',"
Sheila Cherfilus-McCormick,https://twitter.com/Sheila4Congress ,Democrat,," '@Sheila4Congress',"
Judy Chu,https://twitter.com/RepJudyChu ,Democrat,," '@RepJudyChu',"
Katherine M. Clark,https://twitter.com/RepKClark ,Democrat,," '@RepKClark',"
Yvette D. Clarke,https://twitter.com/RepYvetteClarke ,Democrat,," '@RepYvetteClarke',"
Susan Collins,https://twitter.com/SenatorCollins ,Republican,," '@SenatorCollins',"
Catherine Cortez Masto,https://twitter.com/SenCortezMasto ,Democrat,," '@SenCortezMasto',"
