,ID,Year,First Name,Middle Name,Last Name,party,Level,Position,state,race_ethnicity,state_name,ideology,leadership,district,Full Name,Link,User_name
0,159127k,2022,Tammy,,Baldwin,Democrat,Congress,U.S. Senator,WI,White,Wisconsin,0.20931439775211,0.6559256477783683,0.0,Tammy Baldwin,https://twitter.com/SenatorBaldwin," '@SenatorBaldwin',"
1,198986k,2022,Marsha,,Blackburn,Republican,Congress,U.S. Senator,TN,White,Tennessee,1.0,0.4953823915733168,0.0,Marsha Blackburn,https://twitter.com/MarshaBlackburn ," '@MarshaBlackburn',"
2,205537k,2022,Maria,,Cantwell,Democrat,Congress,U.S. Senator,WA,White,Washington,0.3415861430872271,0.3621429747130823,0.0,Maria Cantwell,https://twitter.com/SenatorCantwell ," '@SenatorCantwell',"
3,200084k,2022,Shelley,Moore,Capito,Republican,Congress,U.S. Senator,WV,White,West Virginia,0.7551780905627227,0.3274673031584897,0.0,Shelley Moore Capito,https://twitter.com/SenCapito ," '@SenCapito',"
4,165234k,2022,Susan,,Collins,Republican,Congress,U.S. Senator,ME,White,Maine,0.6088764794766894,0.7518380514260852,0.0,Susan Collins,https://twitter.com/SenatorCollins ," '@SenatorCollins',"
5,252293k,2022,Catherine,,Cortez Masto,Democrat,Congress,U.S. Senator,NV,Latina,Nevada,0.289106975388481,0.4899027888749208,0.0,Catherine Cortez Masto,https://twitter.com/SenCortezMasto ," '@SenCortezMasto',"
6,264841k,2022,Tammy,,Duckworth,Democrat,Congress,U.S. Senator,IL,Asian American/Pacific Islander,Illinois,0.2671354845754197,0.4915577135936861,0.0,Tammy Duckworth,https://twitter.com/SenDuckworth ," '@SenDuckworth',"
7,328986k,2022,Joni,,Ernst,Republican,Congress,U.S. Senator,IA,White,Iowa,0.9231190241813788,0.5182800426072763,0.0,Joni Ernst,https://twitter.com/SenJoniErnst ," '@SenJoniErnst',"
8,165201k,2022,Dianne,,Feinstein,Democrat,Congress,U.S. Senator,CA,White,California,0.2418478363712515,0.631169585543912,0.0,Dianne Feinstein,https://twitter.com/SenFeinstein ," '@SenFeinstein',"
9,228296k,2022,Deb,,Fischer,Republican,Congress,U.S. Senator,NE,White,Nebraska,0.8087266252938884,0.2702301652798128,0.0,Deb Fischer,https://twitter.com/SenatorFischer ," '@SenatorFischer',"
10,248345k,2022,Kirsten,E.,Gillibrand,Democrat,Congress,U.S. Senator,NY,White,New York,0.0623939854122998,0.5792524090359764,0.0,Kirsten E. Gillibrand,https://twitter.com/gillibrandny?lang=en ," '@gillibrandny',"
11,227982k,2022,Maggie,,Hassan,Democrat,Congress,U.S. Senator,NH,White,New Hampshire,0.4581275397945945,0.362901756349417,0.0,Maggie Hassan,https://twitter.com/SenatorHassan ," '@SenatorHassan',"
12,248294k,2022,Mazie,K.,Hirono,Democrat,Congress,U.S. Senator,HI,Asian American/Pacific Islander,Hawaii,0.1244823683400343,0.4428907570450947,0.0,Mazie K. Hirono,https://twitter.com/maziehirono ," '@maziehirono',"
13,196212k,2022,Cindy,,Hyde-Smith,Republican,Congress,U.S. Senator,MS,White,Mississippi,0.8845866856784902,0.3047725168795167,0.0,Cindy Hyde-Smith,https://twitter.com/SenHydeSmith ," '@SenHydeSmith',"
14,248506k,2022,Amy,,Klobuchar,Democrat,Congress,U.S. Senator,MN,White,Minnesota,0.1915997169049615,0.7401992895220791,0.0,Amy Klobuchar,https://twitter.com/senamyklobuchar?lang=en ," '@senamyklobuchar',"
15,240578k,2022,Cynthia,M.,Lummis,Republican,Congress,U.S. Senator,WY,White,Wyoming,,,0.0,Cynthia M. Lummis,https://twitter.com/senlummis?lang=en ," '@senlummis',"
16,192554k,2022,Lisa,,Murkowski,Republican,Congress,U.S. Senator,AK,White,Alaska,0.5683381964512569,0.6235000346985762,0.0,Lisa Murkowski,https://twitter.com/lisamurkowski ," '@lisamurkowski',"
17,165286k,2022,Patty,,Murray,Democrat,Congress,U.S. Senator,WA,White,Washington,0.2127451790653449,0.579284842041384,0.0,Patty Murray,https://twitter.com/PattyMurray ," '@PattyMurray',"
18,567336k,2022,Jacklyn,S.,Rosen,Democrat,Congress,U.S. Senator,NV,White,Nevada,0.3408482820088204,0.4522491780965729,0.0,Jacklyn S. Rosen,https://twitter.com/SenJackyRosen ," '@SenJackyRosen',"
19,209675k,2022,Jeanne,,Shaheen,Democrat,Congress,U.S. Senator,NH,White,New Hampshire,0.357630608726635,0.6828903583400016,0.0,Jeanne Shaheen,https://twitter.com/SenatorShaheen ," '@SenatorShaheen',"
20,227495k,2022,Kyrsten,,Sinema,Democrat,Congress,U.S. Senator,AZ,White,Arizona,0.6758048564532102,0.3896367552383291,0.0,Kyrsten Sinema,https://twitter.com/senatorsinema?lang=en ," '@senatorsinema',"
21,332335k,2022,Tina,,Smith,Democrat,Congress,U.S. Senator,MN,White,Minnesota,0.2361637770902647,0.4993796587987121,0.0,Tina Smith,https://twitter.com/SenTinaSmith ," '@SenTinaSmith',"
22,205511k,2022,Debbie,A.,Stabenow,Democrat,Congress,U.S. Senator,MI,White,Michigan,0.2602709832891195,0.4662315710221738,0.0,Debbie A. Stabenow,https://twitter.com/senstabenow?lang=en ," '@senstabenow',"
23,309189k,2022,Elizabeth,A.,Warren,Democrat,Congress,U.S. Senator,MA,White,Massachusetts,0.2102200370610991,0.6432907832406126,0.0,Elizabeth A. Warren,https://twitter.com/senwarren ," '@senwarren',"
24,196595k,2022,Alma,S.,Adams,Democrat,Congress,U.S. Representative,NC,Black,North Carolina,0.2214196738842678,0.7363680041970524,12.0,Alma S. Adams,https://twitter.com/RepAdams ,"'@RepAdams',"
25,627442k,2022,Cindy,,Axne,Democrat,Congress,U.S. Representative,IA,White,Iowa,0.5082745194961261,0.4655202347467091,3.0,Cindy Axne,https://twitter.com/RepCindyAxne," '@RepCindyAxne',"
26,226476k,2022,Karen,R.,Bass,Democrat,Congress,U.S. Representative,CA,Black,California,0.1533696502131935,0.84963945182827,37.0,Karen R. Bass,https://twitter.com/RepKarenBass," '@RepKarenBass',"
27,197852k,2022,Joyce,B.,Beatty,Democrat,Congress,U.S. Representative,OH,Black,Ohio,0.2544284179983619,0.6398391316287932,3.0,Joyce B. Beatty,https://twitter.com/repbeatty?lang=en," '@repbeatty',"
28,495403k,2022,Stephanie,,Bice,Republican,Congress,U.S. Representative,OK,White,Oklahoma,,,5.0,Stephanie Bice,https://twitter.com/stephaniebice," '@stephaniebice',"
29,558891k,2022,Lisa,,Blunt Rochester,Democrat,Congress,U.S. Representative,DE,Black,Delaware,0.3024530193347228,0.4459089406528202,0.0,Lisa Blunt Rochester,https://twitter.com/RepLBR ," '@RepLBR',"
30,724132k,2022,Lauren,,Boebert,Republican,Congress,U.S. Representative,CO,White,Colorado,,,3.0,Lauren Boebert,https://twitter.com/laurenboebert ," '@laurenboebert',"
31,249764k,2022,Suzanne,M.,Bonamici,Democrat,Congress,U.S. Representative,OR,White,Oregon,0.1954845780081286,0.6205508344299735,1.0,Suzanne M. Bonamici,https://twitter.com/RepBonamici ," '@RepBonamici',"
